,expr
160,$g(s)=\nu s+\delta$
161,$\lambda X$
162,$\rho_t$
163,$\mathcal F_0\times \mathcal F_1$
164,$\rho_c\leftrightarrow\mathcal Q$
165,$q_C(p)=\inf C$
166,$g(T(X)\mid \lambda)$
167,$P^i = \mathsf E[Z\cdot X^i]$
168,$q=0$
169,$g^x(s^\star)$
170,$N:=(1-\alpha)M$
171,"$100,000~ has had a per-occurrence limit of \$"
172,$\tilde \rho$
173,$X^m=X+X^a$
174,$55+0.675\times 3.807=57.572$
175,$\mathsf{E}_{\mathsf Q}[X_i(a)]=\mathsf{E}[X_i(a)g'(S(X))]$
176,$m\to\infty$
177,"$(fun3a.south -| fun3a.south east)+(\smlspc,-\smlspc)$"
178,$P=L+M$
179,$g'S(X)$
180,$g'(1-p) dp$
181,"$(\Omega, \mathscr{F})$"
182,$(3) \rightarrow (9 = 9) \rightarrow (27 = 4) \rightarrow (12 = 12) \rightarrow (36 = 13) \rightarrow (39 = 16) \rightarrow (48 = 2) \rightarrow (6 = 6) \rightarrow (18 = 18) \rightarrow (54 = 8) \rightarrow (24 = 1)$
183,"$\delta^{\star}, d$"
184,$a < kP$
185,$\mathsf E[XY] \not=\mathsf E[X]\mathsf E[Y]$
186,$X_1(z_1)$
187,"$u : (a, b) \to \mathbf R$"
188,$Z\circ T_Z=Z$
189,$\inf_t\ \{ t+(1-\alpha)^{-1}\mathsf{E}(Z-t)_+ \}$
190,$r_N$
191,$p=0.831588$
192,$\kappa_i(x)=O(x)$
193,$X_u$
194,"$=E_{id}=E_{y,n}$"
195,$1-\beta_i(t)g(S(t))$
196,$f(L)=(L-a)^+$
197,$T_x\wedge n$
198,$f(s)$
199,$\dfrac{px^{x+p-1}e^{-1}}{\mathscr{G}amma(x+p+1)}$
200,$X\ge m$
201,$\omega_I < s$
202,$x_0<a_1$
203,$m \times n$
204,$c(y)e^{\theta y}$
205,$c_1 + c_2 >0$
206,$a_h=2-a_l<2-b_l=b_h$
207,$\mu(dp)$
208,$g(S(a))$
209,$M^-$
210,$a=5$
211,$\int_0^\alpha$
212,$pd_i=F(x)d_i$
213,$-21.6$
214,$Y_t=X_1+\cdots + X_{N(t)}$
215,$R^2=0.87$
216,$F_i = X_i(1 - (X\wedge a)/X)$
217,"$a(\cdot, p)$"
218,"$178.7 billion of expenses. Commissions and brokerage accounted for 25.1 percent and claim adjustment services for 13.5 percent of the total. Taxes licenses and fees were 6.3 percent. However, their remaining expense items are broken out by expense category, such as employee salaries and benefits or advertising, rather than insurer value-add function. They also reported a cost of capital of 13 percent, applied to equity capital of $"
219,$\zeta=\zeta(G)$
220,$\kappa'(\theta)=\tau(\theta)=\mu$
221,$(X\wedge a)/X$
222,$V=\sum_i V_i$
223,$0\le p_0 \le p_1\le 1$
224,$=dP(a)/da = g(S(a))$
225,$S_0=1$
226,$\kappa_i(x)= \mathsf{E}[X^i\mid X=x]$
227,$X\mid\theta$
228,"$X_{(1)},\dots,X_{(n)}$"
229,$\kappa(s)=\log\mathsf{E}[e^{sX_1}]$
230,$\mathsf P X = \mu P_I X$
231,$X=4$
232,$1_{\{X>x\}}$
233,$\mathsf{E}_{\mathsf Q}[Y]=\mathsf{E}[YZ]$
234,$\zeta_t=0$
235,$F_0$
236,$\phi(s)=g'(s)=s^{1/\rho}/(s\rho)$
237,$\Delta_j s_j \ge 0$
238,$\mathbf {M_{1}\Delta X}$
239,$YL$
240,$g''_\tau(s)=g''(s)/(1+\tau)\le 0$
241,"$u_1,\dots, u_n$"
242,$T(p)=r$
243,$E\setminus F\in R$
244,$\mathcal Q$
245,$F_t$
246,$m\in \mathcal M$
247,$\phi_t$
248,$V=V_1$
249,$H_k(X) \le H_k(Y)$
250,$p=F(\mathsf{E}(X))$
251,$t\mapsto \rho(X) + t\mathsf{E}_{\mathsf Q_X}[Y]$
252,$\tau a_i$
253,$\tau(\theta)$
254,$\nabla (\zeta NF) = \zeta\nabla NF$
255,$p=p_a$
256,$\mathsf{E}_\mathsf{Q_r}[X_j]$
257,$\beta\to 1/\mu$
258,$\dfrac{\partial \mu}{\partial \eta}=\dfrac{1}{g'(\mu)}$
259,$L_X(s)/L_Y(s)\to\infty$
260,$m(1+\frac{m^2}{a^2})$
261,$\rho_g(X)=\mu+\lambda$
262,$s^{th}$
263,$L_0^a(X)$
264,$t<t_0$
265,$\phi:=\rho\circ F$
266,$\rho_{(g)}(\cdot)$
267,$f=f_x=f_{xx}$
268,$\pi=10\%$
269,$\mathsf{E}[X] + \pi \mathsf{E}[(X-\mathsf{E}[X])^+]$
270,$i=0$
271,$j(x)\propto x^{-3/2}e^{-\beta x}$
272,$p(\omega)=0$
273,$1+\iota^*=(1+\iota)(1+\tau)$
274,$g'(s)=\phi(1-s)\ge 0$
275,$\partial a/\partial x_1$
276,"$x,y\in C$"
277,$\mathcal{R}_{r} \to\mathbf{R}$
278,$u_2$
279,$g'S$
280,$\omega_I$
281,$\bar\nu=1/(1+\bar\iota)$
282,$g=F_G^{-1}(p_{\mathit{pr}})-1$
283,"$s\in[0,1]$"
284,$V_T(m)= m^3V_X(1/m)=m^2$
285,$\sum_i X_i\zeta_i / 10$
286,$\iota\lambda$
287,"$[P,2P)$"
288,$p_Y=1-p_R$
289,"$d\,F(X)$"
290,$\sigma_A$
291,$C < cx/a$
292,$M_2dX$
293,$g'(1-p^*)=0$
294,$X_1=1000$
295,$dg$
296,$r_c$
297,$\lim_{x\downarrow x_0} F(x)=F(x_0)$
298,$\dfrac{1}{1+\iota} p$
299,$l(\mathbf X)$
300,"$k=1,2,\dots,n-1$"
301,"$(0, 1/n)$"
302,$\rho_k$
303,$\hat \theta_s$
304,"$9.81 \, \text{m/s}^2$"
305,$x\mapsto \mathsf{E}[X_i\wedge x]$
306,$P=nb$
307,$1-g(S(x))=\tilde F(x)$
308,$\int c(y)dy=\infty$
309,$M^i$
310,$\mathbf {X\wedge a}$
311,$\nabla^i a$
312,$\mathsf{E}[X] + \pi\mathsf{var}(X)$
313,$\Omega=\mathbb{R}$
314,$L_0^y$
315,$R_1$
316,"$\mathsf{Pr}r(A)\in [0,1]$"
317,$Z_p^\times$
318,"$\mathsf{E}[\min(X_i,a)]=\mathsf{E}[X_i\wedge a]$"
319,$r_U \Delta A - \Delta P$
320,"$100,000 = (1+R)·1(\$"
321,$X_2(a)$
322,$a=\iota/(1+\iota)$
323,$h(p)<p$
324,$x_{\min{}}=9750$
325,$s \le s^\star$
326,$. The proportion of variance emerging is $
327,$1_{U_X\ge p}=0$
328,"$\rho(Y_{2,0})$"
329,$e^{-50}=10^{-22}$
330,$\mathsf{E}(X\mid X > a)$
331,$\rho(X+tY)$
332,$X_1 =\mathsf{E}[X_1 \mid C]$
333,$\{\mathscr{F}_t\}$
334,$q(p)=25$
335,$\sum e_i^2 / (n-k-1)$
336,$(1-p)x_0$
337,$\beta < \alpha$
338,$(g(s)-s)/(1-g(s))=\iota$
339,$L^\infty$
340,$p(\nu_p-l_p)$
341,$\kappa$
342,$u_1 > 0$
343,$ for estimates $
344,$1/\sqrt{\lambda}$
345,"$(s_n,g_n)$"
346,$U''(x)<0$
347,$A\subset\mathbb{R}$
348,$W_1$
349,"$\{90,\dots,99\}$"
350,"$\nu = (1,1,\dots ,1)$"
351,"$-l, -l+1, \dots, 0, \dots, l-1, l$"
352,$U_i$
353,$t_*=0.206< 0.5 < 0.544=t^*$
354,$W \equiv T_{(1)}=min_k{T_k}$
355,$q\to\infty$
356,$\beta_i(a)/\alpha_i(a) < 1$
357,$\mathsf{SD}(G')=\nu$
358,$l/P$
359,$\rho_g(X)=35.2$
360,$q^-(p)=\inf \{ x \mid F(x) \ge p \}$
361,$\mu^3$
362,$\nabla_i(X) = \mathsf E[X^i\mid p>0.99]$
363,${rl:.3f}+{rex:.3f}={rl+rex:.3f}$
364,$\mathsf{Var}(s) =\mathsf{E}[s^2]$
365,$s = 1-10^{-15}$
366,$p\not=0.75$
367,$Q_1=\rho(V_1)$
368,$v_f(\mathsf{E}_Q[X_i] - \dfrac{\mathsf{E}_Q[X_i]}{\mathsf{E}_Q[X]}\mathsf{E}_Q[(X-A)^+])$
369,$P=a - v(a-\mathit{EL})$
370,$\omega\not=\omega'$
371,$\alpha=0.7205$
372,$|Z|$
373,$\rho(X)=\int_0^1 q(1-g^{-1}(1-t))dt$
374,$\bar P^a_i$
375,$d(y;\mu) =2\left(\dfrac{y}{\mu} - \log\left(\dfrac{y}{\mu} \right) - 1\right)$
376,$=\mathsf{E}[X_i / X]$
377,$q=X$
378,$P = 53.565 = v EL + d \max(L) = 46.6 / 1.15 + (0.15 / 1.15) \times 100$
379,$\mathsf{E}[X_1\tilde Z]=\mathsf{E}[X_2\tilde Z]=500$
380,"$17,500) than project A has (\$"
381,$X=\sum X_i$
382,$p^+=\mathsf P(X\le q_X(p))$
383,"$(Z_1,\dots,Z_k)$"
384,$\rho(-X_n)\downarrow 0$
385,"$(t_1,t_2)$"
386,$Q=\nu a'$
387,$\mathsf{TVaR}_p(X)=25$
388,$\tilde X_1$
389,"$(s,g(s))=(0.2,0.333)$"
390,$t=i+1$
391,$V(\mu)=\kappa''(\theta)=\tau'(\tau^{-1}(\mu)=1/(\tau^{-1})'(\mu)$
392,$X_t - X_{t-1}$
393,$\mathsf{E}(Y(a))=\mathsf{E}(Y\wedge a)=\int_0^a S_Y(t)dt$
394,$A_x\cap A_y\not=\emptyset$
395,$\omega^l=(\omega^n)^j=1$
396,$p={p.dists['tvar'].shape:.3f}$
397,$\sum_{j=0}^{a} q_j = 1$
398,"$\Omega_i^X := (1-T_{R-1})\rho_e^U(X,s_i)$"
399,$\sum_i h^i= 0$
400,"$T:(M,\mathcal{B})\to ??$"
401,$P=\mathsf E_q$
402,$\{ v_i \}$
403,$\iota(?)=\dfrac{g(s)-s}{1-g(s)}$
404,$\sigma^2=\sigma_A^2 + \sigma_L^2 - 2\rho\sigma_A\sigma_L$
405,$N(t)$
406,"$481,689,597 |       13.2% |       $"
407,$\mathsf E[X] =\displaystyle\int_\Omega S(x)dx$
408,$X_{n \wedge \tau}$
409,$Z=\lambda X$
410,$\bar P_n$
411,$(g(s_0)-g_0)/s_0 = g'(s_0)$
412,"$\lambda, \iota, \psi$"
413,$n^{-1}\sum_i a_i^2=1$
414,$r(X+Y)=r(X) + r(Y)$
415,$(1-g)$
416,"$X(x_1, x_2)=(x_1+x_2)Y$"
417,$B(-X)=-A(X)$
418,$(90 + 100) / 2$
419,$\mathsf{Pr}hi^{-1}(0.995)=2.576$
420,$M_{1}$
421,"$767 billion of capital, part of $"
422,$\beta_i(x)/\alpha_i(x)<S(x)/g(S(x))$
423,$X_n \downarrow 0$
424,$\rho(X)=\int_0^1 q(s)g'(1-s)ds$
425,$\kappa_i(x) = \mathsf{E}[X_i \mid X=x]$
426,"$[0, 5;\ 0.90, 0.10]$"
427,$G\mathsf X$
428,$\mathsf{E}[XZ^*]=\mathsf{E}[\mathsf{E}[XZ\mid X]]=\rho(X)$
429,$l(y;\mu)= \dfrac{y\mu^{1-p}}{1-p} + \dfrac{\mu^{2-p}}{2-p}$
430,$\phi_{L+1}$
431,$\epsilon_t$
432,$\tilde F(x)=\mathsf{Pr}r(\tilde X-\lambda\le x-\lambda)=\mathsf{Pr}hi(x-\lambda)$
433,$1/b$
434,$\rho_p$
435,$y_i=b_0+b_1 x_{i1} + \cdots + b_kx_{ik} + e_i$
436,$s_0(s_1)$
437,$t\in\mathbb{R}$
438,$\mathcal{M}_0$
439,$\hat x=q(\hat p)$
440,$L(a)=$
441,$(\log(f(x)))'' = \log(x) / x^2$
442,$\rho(0)=\rho(0 \dot X)=0\rho(X)=0$
443,$\Delta_R$
444,$\mathsf{Pr}_X$
445,$\bar P'(x)=P(x)$
446,$\mathsf{Pr}r$
447,$t=3$
448,$af\le 1$
449,$\bar Q_{1}$
450,"$\bar Q_{0,2}$"
451,$F^{-1}(j/(n+1))$
452,$6.022\times 10^{23}$
453,$a+y$
454,$\rho(X)=k\mathsf{Var}(X)$
455,$\rho_w$
456,$X=X(u_1)$
457,$a=F^{-1}(1-\delta)$
458,$Y\wedge a$
459,$-\rho(-X)\le \mathsf{E}[X] \le \rho(X)$
460,$\mathsf{Pr}r(X\le \mathsf{VaR}_p(X))=p$
461,$\mathsf{E}_Q[X_i(\mathbf{x}+dx; a+da)] =\mathsf{E}_Q[X_i(\mathbf{x}; a)]$
462,$a_{d}' = a_{d-1}-X_{d}$
463,$\mathsf{TVaR}_p(X) \le r$
464,$g(S(x))=1-p$
465,$s_1 < s_2$
466,$SS/df$
467,$Y\le X+\Vert X-Y\Vert$
468,$p^\ast$
469,$M_i$
470,$||\cdot ||$
471,$\bar s$
472,$s=(1-a)/b$
473,$\bar S(a):= \mathsf{E}[L_0^a(X)]=\mathsf{E}[X\wedge a]$
474,$\mathsf{E}[X\mid t+d]$
475,$i:=1...n^y$
476,$\mathbb{R}^n\to\mathbb{R}$
477,$C'_1+\cdots + C'_n$
478,"$\beta_H:=\mathsf{cov}(r_H, r_M)/\mathsf{var}(r_M)$"
479,$1-e^{-\lambda S(x)}$
480,$g-S$
481,$\rho(X_n)=1\not=\rho(0)$
482,$1-(p_R+p_Y)$
483,$\mathsf{E}[X_1]=\mathsf{E}[Y_{0}]$
484,"$B_2=[0,0]$"
485,$s<0.15$
486,$[s_1(k_1 - k_0) + k_0 u]$
487,$S_0$
488,$\rho(X\wedge a)=\mathsf{E}_{\mathsf Q}[X\wedge a]$
489,$\mathcal{G} \subseteq \mathcal{F}$
490,$A_{ij}=\{\omega\mid F_{r_j}(\omega) < F_{r_i}(\omega) \}$
491,$q+p\delta_p$
492,$A \subset \mathbb{R}$
493,$1_A = 1 - 1_{A^c}$
494,$P=\rho(X\wedge a)$
495,$=\rho(B(\mathrm{current\ best\ estimate\ of\ } s)) = \rho(B(s))$
496,$\tilde X = (x_{ij})$
497,"$(1-W_{i,j})\Theta_j^X + W_{i,j}\Theta_i^X = c$"
498,"$\rho(\rho(X, P_I), \mu)$"
499,$d=rv$
500,$602.6 billion and converted to net premium based on $
501,$v_f\mathsf{E}_Q[X_i]$
502,$(g(s^*)-s^*) / (1 - g(s^*))$
503,"$(r,s)$"
504,$\rho(\mathsf{E}[X\mid \text{information}]) \le \rho(X)$
505,"$\mathsf{cov}(X,M)=\mathsf{cov}(X_i,M)$"
506,$f(x)\ge f(x_0) + s(x-x_0)$
507,$\mathsf Q_X$
508,$\mathsf P(X=\sup(X))>0$
509,$x < X(\omega)$
510,$E[X_i/x | X = x]$
511,$\mathsf E X= a_1s_1 + a_2 s_2$
512,$p_i = \mathsf P(X=x_i)$
513,$1-s_L \le p_1 \le p_2 \le 1$
514,$\forall x$
515,$t_1^* = 0.544$
516,$g(1-p)>1-p$
517,"$\sigma=13,108$"
518,$\mathsf{E}[X \mid X > q(p^*)]=103.333$
519,$\mathbf {s_1}$
520,$(T\lambda)\{\lambda_t\Omega=\infty\}=0$
521,$0<b\le 1$
522,"$\int_0^1 j(x)\,dx<\infty$"
523,$2^9=512$
524,$s^L \le s^{\star}$
525,$\mathscr{Z}$
526,$p_k$
527,$d^*$
528,$\omega'=0$
529,$R_1(t)\to\infty$
530,$m_s$
531,$X_t:=\mathsf{E}[X\mid \mathcal F_t]$
532,$\alpha_2(99)=0.9$
533,$X_i(1)$
534,$\sum p_jX_j$
535,$\hat g(s):=1-g(1-s)$
536,$Y=X\wedge a$
537,$dG/dF$
538,$-iv^n$
539,$k=h$
540,$δ$
541,$\mathbf {Z_7}$
542,$\alpha aw$
543,$\phi_t=\phi_R$
544,$     | 0        | \$
545,$\rho(X)=\rho(X\wedge a) + \rho(X-a)^+)$
546,$\beta^1 g(S)$
547,$0 \le U_i \le X_i$
548,$\mathsf{Pr}r(B)=\mathsf{Pr}r(A)$
549,$L_x^{x+dx}$
550,$F(x; \theta)$
551,$B \in \mathscr{F}$
552,$\mathsf{E}(U(X))$
553,$f(x) = \dfrac{dF}{dx}$
554,$U(\omega)=\omega$
555,$f(x+)$
556,$0 < t < 0.5$
557,$\xi(A\mid \mathscr{G})(\omega)$
558,$\mathsf{E}[X] + \pi\mathsf{E}[X]$
559,$p_{j+}-p_{j-}>0$
560,$\alpha(p)$
561,"$Z_i\sim \mathrm{DM}^*(\theta, \nu_i)$"
562,$S(x_{max})=0$
563,$B=g^k\pmod p$
564,$X0=X_{0}$
565,$s_L>0$
566,$X > k$
567,"$(R,S)$"
568,$\lambda=1/\sigma^2$
569,$g'(p)=\phi(1-p)$
570,$ be the compound of $
571,$\mathsf{Q}\sim \mathsf{P}$
572,$\circ$
573,$\rho=\rho_\phi$
574,$v(E)$
575,$\rho =$
576,$\gamma>0$
577,$a-L_0^a$
578,$Y_2$
579,$g_\tau(0)=0$
580,"$(s_1, s_0]$"
581,$k=1.333$
582,$\nu(p)=p$
583,$r_y$
584,$\alpha_\epsilon-\alpha$
585,$F^{(2)}=[F^{(-2)}]^*$
586,$(1+r)\lambda \mathsf{E}[X]$
587,$\mathsf{Pr}r({\omega})=1/6$
588,$m / s^2$
589,"$100,000 investment income, \$"
590,$\{ a_n\}$
591,$\omega=\exp(2\pi i/n)$
592,$g(t)=h(t) / (1+l(t)) > 0$
593,$-(1-s)g''(1-s) + g(0+)\delta_1 + \sum_s s(g'(s-)-g'(s+))\delta_{1-s} + g'(1)\delta_0$
594,"$t=0,1,\dots, T$"
595,$\mathbf {s_0}$
596,"$\mathscr{F}\times\Omega\to [0,1]$"
597,$g'(S(x)))=0$
598,$1/t$
599,$0 < p < p^\star < 1$
600,$sgn(z)|z|^{1/(q-1)}/\|z\|_p^{q/p}$
601,$\mu dt$
602,$\mathsf{Pr}(A\mid\mathscr{G})_{\omega_0}$
603,$\mu t$
604,$\exp$
605,$dS = \mathbf{n}dudv$
606,$X_i\Delta g(S)$
607,$\delta=\rho/\nu$
608,"$\mathrm{ED}^*(\theta, \lambda)/\lambda$"
609,"$uv \in [0, s_1], u, v \in (s_1, s_0]$"
610,$l=\sum_i l_i$
611,$g_0=g(0+)$
612,$P_{\text{req}}$
613,$g(s)=\sqrt{s}$
614,$X_1 = fI + g + N$
615,"$\alpha_i(\mathbf{x}, x)$"
616,$\mathcal{A} \subseteq \mathcal{C}$
617,$g(s)=\displaystyle\int_{1-s}^1 \phi(t)dt = \displaystyle\int_0^s \phi(1-t)dt$
618,$q_{\mathbf{x}}(p)=\mathsf{VaR}_p(X(\mathbf{x}))$
619,$X_{-2}$
620,$0\in\Theta$
621,$|\hat F(f)|$
622,"$\mathbb{R}=(-\infty, \infty)$"
623,$S_X$
624,$\hat\rho_{\mathscr F_1}$
625,$\iota a$
626,$\beta(\beta-1)s^{\beta-2}(1-s)$
627,$g_o:=h_R + (s_{R+1}-s_R)(1-h_R)/(1-s_R) \le g_{R+1} \le g_e:=h_R + (s_{R+1}-s_R)(1-h_R)/(s^\star-s_R)$
628,$\alpha(\alpha+1)\beta$
629,$k> 0$
630,$(1-T_{R-1})\rho$
631,$g_3(s)=s^{0.7}$
632,$F_X(t)> F_Y(t)$
633,"$[0, a]$"
634,$\rho(X^{\oplus n}) = n(v\mathsf E[X] + d\max(X))$
635,$Z(\omega)$
636,$>a$
637,$B_s$
638,"$i=1,\dots,N$"
639,${\lambda\alpha}/{\beta}$
640,$L=\mathsf E[X\wedge a]$
641,$\mathbf{r}\ge 0$
642,$s_x^2 = (n-1)^{-1}\sum_i (x_i - \bar x)^2$
643,$\mathcal{A}\otimes \mathcal{B}$
644,$\rho(\lambda X + (1-\lambda)Y)\le \lambda \rho(X) + (1-\lambda)\rho(Y)$
645,$\mathsf{cv}(X_i)$
646,$\mathsf{TVaR}_{p^*}$
647,$\sum \Delta g(S)_jX_j$
648,$K_\theta$
649,$\rho(1_A) = \rho(1) = 1$
650,$g(s)=s/(1-p)\wedge 1$
651,$\mathbb{Q}(A)=0$
652,$v_1X_1(1)$
653,$ρ$
654,$-stable distribution with L&eacute;vy density $
655,$\sup_\mathsf{Q} (\mathsf{E}_\mathsf{Q}[X] - \alpha(Q))$
656,$[xf(x)] \times dx$
657,"$50,000           | \$"
658,$R(x)=pd+(\delta^*-d)\sqrt{pq}$
659,"$t\in[0,1)$"
660,$\sup_n E[|X_n|]<\infty$
661,$\rho(X+\rho(X))=\rho(X)-\rho(X)=0$
662,$\sigma=0.5$
663,$x=2.15$
664,${s:.3g}$
665,"$j=n+1,\dots,m$"
666,$E[X\_{1}(a)]$
667,$(\mathscr{F})$
668,"$\phi_{\bar x}(Z)=\langle Z,\zeta_{\bar x} \rangle$"
669,$3.2 \times 10^{15}$
670,$(-0.2092) \cdot (-0.5) = 0.1046$
671,$\mathsf{E}[X]+\mathsf{var}(X)/\mathsf{E}[X]$
672,"$\mathrm{Ga}(\mu, \sigma^2)$"
673,$10+0$
674,$2\left( y\log\frac{y}{m} - (y-m) \right)$
675,$\hat\rho(A_k)$
676,$P(a) = S(a) + \delta F(a)$
677,$\Delta_j s_j$
678,$X(\mathbf{v})=\sum_i X_i(v_i)$
679,$I_t$
680,$S=1-F$
681,$2.439 > 2 \times 1.204 = 2.408$
682,$e^{\mu_L}$
683,$\mathsf{E}[Y\mid X] = X$
684,$\beta > 0$
685,$A(-X)=-B(X)$
686,$\mathbf {2\mathsf{VaR}_p(X_1)}$
687,$k_1 uv$
688,"$[0, 1]$"
689,"$150,000 rather than \$"
690,$\mathsf{Pr}r(\mathsf{CP}(\lambda)=0)=e^{-\lambda}$
691,$\zeta_1=0.5$
